customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,account.Charges.Total,Contas_Diarias
0214-JHPFW,False,female,0,yes,no,70,no,no phone service,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),57.8,4039.3,1.93
0215-BQKGS,False,male,0,no,no,30,yes,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),84.3,2438.6,2.81
0218-QNVAS,False,male,0,yes,yes,71,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,bank transfer (automatic),100.55,7113.75,3.35
0219-QAERP,False,male,0,yes,no,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.8,576.65,0.66
0219-YTZUE,True,male,0,yes,yes,4,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),84.8,371.9,2.83
0220-EBGCE,True,male,0,no,no,2,yes,no,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,85.85,167.3,2.86
0221-NAUXK,False,male,0,no,yes,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),19.95,219.5,0.66
0221-WMXNQ,False,male,1,no,no,4,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,75.35,273.4,2.51
0222-CNVPT,False,male,1,no,no,52,no,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,yes,credit card (automatic),48.8,2555.05,1.63
0224-HJAPT,True,male,0,no,no,5,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,47.15,223.15,1.57
0224-NIJLP,False,male,0,yes,yes,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.15,165.5,0.67
0224-RLWWD,False,female,1,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,44.3,89.3,1.48
0225-ZORZP,False,male,0,no,no,3,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,84.3,235.05,2.81
0228-MAUWC,False,male,0,no,no,19,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic check,59.55,1144.6,1.98
0229-LFJAF,False,male,0,no,no,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),69.65,4908.25,2.32
0230-UBYPQ,False,male,1,yes,no,63,no,no phone service,dsl,yes,no,no,yes,no,no,one year,no,bank transfer (automatic),36.1,2298.9,1.2
0230-WEQUW,False,male,0,yes,no,66,no,no phone service,dsl,yes,yes,yes,yes,yes,no,two year,yes,bank transfer (automatic),56.6,3789.2,1.89
0231-LXVAP,True,male,0,no,no,1,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,yes,electronic check,75.9,75.9,2.53
0233-FTHAV,False,female,0,no,no,60,yes,yes,fiber optic,no,no,yes,no,no,no,one year,yes,bank transfer (automatic),79.2,4765,2.64
0234-TEVTT,False,female,0,yes,yes,48,no,no phone service,dsl,yes,no,yes,no,no,yes,one year,no,credit card (automatic),45.0,2196.3,1.5
0235-KGSLC,True,female,0,no,no,1,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,credit card (automatic),85.55,85.55,2.85
0236-HFWSV,True,male,0,no,no,15,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,93.35,1444.65,3.11
0237-YFUTL,False,female,0,yes,no,50,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.65,5405.8,3.66
0238-WHBIQ,False,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),89.7,6339.3,2.99
0239-OXEXL,False,female,0,no,no,46,yes,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,no,mailed check,84.25,3847.6,2.81
0244-LGNFY,False,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),92.65,6733,3.09
0247-SLUJI,False,male,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.7,19.7,0.66
0248-IPDFW,False,female,0,no,no,1,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,50.1,50.1,1.67
0248-PGHBZ,False,female,1,no,no,67,yes,no,fiber optic,yes,yes,no,yes,yes,no,two year,yes,bank transfer (automatic),92.45,6140.85,3.08
0253-ZTEOB,False,female,0,yes,yes,48,yes,yes,dsl,no,yes,no,yes,yes,yes,two year,no,electronic check,79.65,3870.3,2.66
0254-FNMCI,False,female,0,no,no,72,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,109.9,7624.2,3.66
0254-KCJGT,False,male,0,yes,no,52,yes,yes,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),81.4,4354.45,2.71
0254-WWRKD,False,female,0,yes,yes,67,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card (automatic),50.55,3431.75,1.68
0256-LTHVJ,True,female,0,yes,yes,28,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,81.05,2227.1,2.7
0257-KXZGU,False,female,0,yes,yes,32,yes,yes,dsl,no,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),62.45,2045.55,2.08
0257-ZESQC,True,female,1,yes,no,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.2,1929.35,2.51
0258-NOKBL,False,male,0,no,no,3,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,no,electronic check,90.4,268.45,3.01
0259-GBZSH,True,male,0,no,no,2,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,85.65,181.5,2.86
0260-ZDLGK,True,female,0,no,yes,9,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,mailed check,72.9,651.4,2.43
0263-FJTQO,False,male,0,yes,yes,50,yes,yes,dsl,yes,no,no,yes,yes,no,two year,yes,credit card (automatic),70.5,3486.65,2.35
0264-CNITK,False,female,0,yes,yes,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.1,1389.6,0.67
0265-EDXBD,True,male,1,yes,no,32,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.9,2303.35,2.5
0265-PSUAE,False,female,0,yes,yes,16,yes,no,fiber optic,yes,no,yes,no,yes,yes,month-to-month,no,bank transfer (automatic),100.7,1522.7,3.36
0266-CLZKZ,False,female,0,yes,yes,67,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),105.65,6717.9,3.52
0266-GMEAO,False,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),114.3,8058.55,3.81
0268-QKIWO,True,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,19.75,58.85,0.66
0269-XFESX,False,male,0,yes,yes,23,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,24.35,538.5,0.81
0270-THENM,False,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),69.85,5102.35,2.33
0274-JKUJR,False,male,0,yes,yes,7,no,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,no,mailed check,58.85,465.7,1.96
0274-VVQOQ,,male,1,yes,no,65,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),103.15,6792.45,3.44
0277-BKSQP,False,male,0,yes,yes,8,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic check,54.4,475.1,1.81
